context,primary_task,secondary_task
The super heavyweight division in mixed martial arts has no weight limit but generally refers to competitors weighing above 265 lb (120 kg).  This is the definition used by the Nevada State Athletic Commission and the Association of Boxing Commissions. Ameran Bitsadze is a Georgia mixed martial artist.  He competed in the Super Heavyweight division.,Answer the following question based on the context: What does Ameran Bitsadze compete in?,
"The United Nations Secretary-General is the head of the Secretariat, one of the principal divisions of the United Nations. Many of the individuals who have served as the world body's top office have written memoirs, either before, during or after their terms of office (service).

Secretaries-General of the United Nations
Secretary-General of the United Nations memoirs","Analyze the sentiment of the following text and classify it as positive, negative, or neutral.",
"Postman Pat is a British stop-motion animated television series first produced by Woodland Animations. The series follows the adventures of Pat Clifton, a postman who works for Royal Mail postal service in the fictional village of Greendale (inspired by the real valley of Longsleddale in Cumbria).

Postman Pat'''s first 13-episode series was screened on BBC1 during 1981 and 1982. John Cunliffe wrote the original treatment and scripts, and was directed by animator Ivor Wood, who also worked on The Magic Roundabout, Paddington, and The Herbs. Following the success of the first season, and that of several subsequent television specials, a second season of 13 episodes was produced by the same crew in 1996. Here, Pat has a family for the first time. A new version of the series has been produced by Cosgrove Hall from November 2003, which expanded on many aspects of the original series.

Series overview

Episodes
The episode number follows the first broadcast order.
Series 1 (1981–1982)

Series 2 (1997)

Series 3 (2004)

Series 4 (2006)

Series 5 (2007)

Special Delivery Service episodes

Series 6 (2008)
This is the first season of Postman Pat: Special Delivery Service.

Series 7 (2013)
This is the second season of Postman Pat: Special Delivery Service.

Series 8 (2016–2017)
This is the third and high season of Postman Pat: Special Delivery Service''.

Specials (1990–2006)

References

External links
 
 
 Postman Pat episode guide, TV Guide
 Postman Pat Special Delivery Service, OVGuide

Lists of British animated television series episodes
Lists of British children's television series episodes",Provide a detailed analysis and understanding of the following text.,
"Kunzea is a genus of plants in the family Myrtaceae and is endemic to Australasia.  They are shrubs, sometimes small trees and usually have small, crowded, rather aromatic leaves.  The flowers are similar to those of plants in the genus ""Leptospermum"" but differ in having stamens that are longer than the petals. Most kunzeas are endemic to Western Australia but are few occur in eastern Australia and a few are found in New Zealand.  The taxonomy of the genus is not settled and is complicated by the existence of a number of hybrids. Kunzea salina is a species of flowering plants in the myrtle family, Myrtaceae.  It was previously classified in the monotypic genus ""Angasomyrtus"" as ""Angasomyrtus salina"".  The name is still accepted by some authorities, while others accept its transfer into genus ""Kunzea"" as ""Kunzea salina"". Ricinus communis, the castorbean or castor-oil-plant, is a species of perennial flowering plant in the spurge family, Euphorbiaceae.  It is the sole species in the monotypic genus, Ricinus, and subtribe, Ricininae.  The evolution of castor and its relation to other species are currently being studied using modern genetic tools.  It reproduces with a mixed pollination system which favors selfing by geitonogamy but at the same time can be an out-crosser by anemophily (wind pollination) or entomophily (insect pollination).",Answer the following question based on the context: Are Ricinus and Kunzea both flowering plants? ,
"Bagi may refer to:

 Baki, Awdal, Somaliland
 Bagi, the Italian name of the titular see of Bageis
 Bagi, the Monster of Mighty Nature, a 1984 Japanese anime film by Osamu Tezuka, or its titular character

See also
 Baghi (disambiguation)",Rephrase the following text while preserving its original meaning.,
"Jan-Michael Gambill and Travis Parrott were the defending champions, but Gambill did not participate this year.  Parrott partnered Robby Ginepri, losing in the first round. Rik de Voest and Ashley Fisher were the defending champions, but lost in the final 6–4, 7–6 to tournament winners Eric Butorac and Travis Parrott. Carly Gullickson and Travis Parrott were the defending champions, but lost in the first round to Gisela Dulko and Pablo Cuevas 2–6, 4–6. Treat Conrad Huey and Dominic Inglot were the defending champions, but only Huey tries to defend his title.  He played alongside Travis Parrott and they won the title, defeating Jordan Kerr and David Martin 6–2, 1–6, [16–14] in the final. Travis Parrott (born August 16, 1980 in Portland, Oregon) is an American professional ATP tennis doubles player.  He is primarily a doubles specialist.  Travis is the son of Brian Parrott, a pro tennis organizer who helped bring a pair of Davis Cup events to Portland in the 1980s. Eric Butorac and Travis Parrott were the defending champions, but only Butorac tried to defend his title. The 1983 Virginia Slims of Detroit was a women's tennis tournament played on indoor carpet courts at the Cobo Hall & Arena in Detroit, Michigan in the United States that was part of the 1983 Virginia Slims World Championship Series.  The tournament was held from October 3 through October 9, 1983.  Eighth-seeded Virginia Ruzici won the singles title and earned $28,000 first-prize money. Treat Conrad Huey and Travis Parrott were the defending champions, but decided not to compete. <br> Virginia Ruzici (born 31 January 1955) is a former professional tennis player from Romania.  She won the 1978 French Open singles championship. Travis Parrott and Filip Polášek were the defending champions, but they chose to participate with different partners.",Answer the following question based on the context: Do Virginia Ruzici and Travis Parrott play the same sport?,
"Stereomud was an American nu metal band from New York City and Georgia. They were active from years 1999 to 2003 before breaking up, releasing two albums—Perfect Self and Every Given Moment.

History
Stereomud released their first album, Perfect Self, on Columbia Records in 2001 and a video for the song ""Pain"" received airplay on MTV2. After extensive touring in support of that album, they went back into the studio, releasing Every Given Moment in April 2003. After participating in the Jägermeister Music Tour with Hed PE, Breaking Benjamin, Systematic, and Saliva, Columbia Records cut their touring support, and dropped the band. Due to this, and an impending Life of Agony reunion, Stereomud went their separate ways in July 2003, a mere three months after the release of Every Given Moment. They have performed a few select reunion shows since this, but for the most part, the band remains dormant to this day. Recently, it was rumored that Erik Rogers and Corey Lowery would reunite to reform the band, but the possibilities may not be true as they are focusing on their own bands. It is planned that a Stereomud DVD will be released at some point in the future.

Band members
Erik Rogers – vocalist (later in Soundevice, Love Said No, Dangerous New Machine and My Therapy)
Corey Lowery – bassist (previously of Stuck Mojo, Switched, Dark New Day, Eye Empire, and Saint Asonia currently in Seether)
Dan Richardson – drummer (previously of Crumbsuckers and Pro-Pain and Life of Agony)
Johnny ""Fatts"" Fattoruso – guitarist for Black Water Rising ( formerly of Wardance, I4NI, Altered Vision, 5ive Year Stare, Zire's War and The Pain Method)
Joey Zampella AKA Joey Z – guitarist (currently in Life of Agony)

Discography
Perfect Self (2001) (US: 142,036)
Every Given Moment (2003) (US: 22,280)

References

External links
[ AllMusic]

Heavy metal musical groups from New York (state)
American nu metal musical groups",Summarize the following text in 2-3 sentences.,
"Yunfu, formerly romanized as Wanfow, is a prefecture-level city in western Guangdong province, People's Republic of China.  It borders Zhaoqing to the north, Foshan to the east, Jiangmen to the southwest, Yangjiang to the south, Maoming to the southwest, and the autonomous region of Guangxi to the west. Jiaozuo (; postal: Tsiaotso) is a prefecture-level city in northern Henan province, China.  Sitting on the northern bank of the Yellow River, it borders the provincial capital of Zhengzhou to the south, Xinxiang to the east, Jiyuan to the west, Luoyang to the southwest, and the province of Shanxi to the north.",Answer the following question based on the context: What country are Jiaozuo and Yunfu located in?,
"Ibadan (Yoruba: ""Ìbàdàn"" ) is the capital of Oyo State, Nigeria and the most populous city in the state with a population of over 3 million.  It is the third most populous city in Nigeria, after Lagos and Kano; it is the country's largest city by geographical area.  At the time of Nigeria's independence in 1960, Ibadan was the largest and most populous city in the country, and the second most populous in Africa after Cairo. The Our Lady of the Annunciation Cathedral also called Catholic Maronite Cathedral of Ibadan Is the name given to a religious building affiliated with the Catholic Church which is located in the city of Ibadan capital of the state of Oyo in the southwest of the African country of Nigeria.  It should not be confused with the Cathedral of St. Mary in the same city but that follows the Latin or Roman rite and is home of the metropolitan Archdiocese of Ibadan. Oyo is a city in Oyo State, Nigeria, founded as the capital of the Oyo Kingdom in the 1830s and known to its people as 'New Oyo' (Ọyọ Atiba) to distinguish it from the former capital to the north, 'Old Oyo' (Ọyọ-Ile), which had been deserted as a result of rumors of war.  Its inhabitants are mostly of the Yoruba people, and its ceremonial ruler is the Alaafin of Oyo. Wándé Abímbọ́lá (born 24 December 1932) is a Nigerian academician, a professor of Yoruba language and literature, and former Vice-Chancellor of the University of Ife (now Obafemi Awolowo University), and has also served as the Majority Leader of the Senate of the Federal Republic of Nigeria.  He was installed as Àwísẹ Awo Àgbàyé in 1981 by the Ooni of Ife on the recommendation of a conclave of Babalawos of Yorubaland.","Answer the following question based on the context: Which country has They city Oyo, where Wande Abimbola is from",
"Mulgoa was an electoral district of the Legislative Assembly in the Australian state of New South Wales. 

Mulgoa includes the suburbs of Abbotsbury, Austral, Badgerys Creek, Cecil Hills, Cecil Park, Eastern Creek, Elizabeth Hills, Erskine Park, Glenmore Park, Horsley Park, Kemps Creek, Luddenham, Middleton Grange, Mount Vernon, Mulgoa, Orchard Hills, Regentville, St Clair, Wallacia and West Hoxton.

Mulgoa was originally created 1988, but was abolished in 1991, when it was largely replaced by Badgerys Creek. It was recreated in 1999, largely replacing Badgerys Creek. As a result of a redistribution in 2021, Mulgoa will once again be abolished at the 2023 election, replaced by a new incarnation of Badgerys Creek.

Members for Mulgoa

Election results

References

Mulgoa
Mulgoa
1988 establishments in Australia
Mulgoa
1991 disestablishments in Australia
Mulgoa
1999 establishments in Australia
2023 disestablishments in Australia
Constituencies disestablished in 2023",Rephrase the following text while preserving its original meaning.,
"Naas General Hospital () is a general hospital located on the Craddockstown Road at Naas in County Kildare in Ireland. It was founded in 1841 and is managed by Dublin Midlands Hospital Group.

History

The hospital has its origins in the Naas Union Workhouse and Infirmary which was designed by George Wilkinson and opened in 1841. In 1922, shortly after the creation of the Irish Free State, it became Naas County Hospital. During the 1990s, the Department of Health undertook a programme of developing the site as a modern general hospital.

Services
The hospital provides acute services for the population of around 200,000 people in County Kildare and western parts of County Wicklow. The hospital currently has 243 patient beds which include 18 day service beds. The hospital features a 24-hour Emergency Department.

References

External links
 Official site

1841 establishments in Ireland
Hospitals established in 1841
Hospitals in County Kildare
Naas
Teaching hospitals of the University of Dublin, Trinity College
Health Service Executive hospitals
Hospital buildings completed in 1841","Analyze the sentiment of the following text and classify it as positive, negative, or neutral.",
"Pictou West is a provincial electoral district in Nova Scotia, Canada, that elects one member of the Nova Scotia House of Assembly.

Its Member of the Legislative Assembly (MLA) since 2013 has been Karla MacFarlane of the Progressive Conservative Association of Nova Scotia (PC).

Geography
The geography of Pictou West is  of land area.

Members of the Legislative Assembly
This riding has elected the following Members of the Legislative Assembly:

Election results

1949 general election

1953 general election

1956 general election

1960 general election

1963 general election

1967 general election

1970 general election

1974 general election

1978 general election

1981 general election

1984 general election

1988 general election

1993 general election

1998 general election

1999 general election

2003 general election

2006 general election

2009 general election

2013 general election 

|-
 
|Progressive Conservative
|Karla MacFarlane
|align=""right""|3,026
|align=""right""|40.10
|align=""right""|
|-
 
|New Democratic Party
|Charlie Parker
|align=""right""|2,588
|align=""right""|34.29
|align=""right""|
|-
 
|Liberal
|Glennie Langille
|align=""right""|1,933
|align=""right""|25.61
|align=""right""|
|-
|}

2017 general election

2021 general election

References

External links
  2012 Electoral District Map - Pictou West
 profile

Nova Scotia provincial electoral districts",Continue or complete the following text in a coherent manner.,
"The men's changquan competition at the 2014 Asian Games in Incheon, South Korea was held on 20 September at the Ganghwa Dolmens Gymnasium. Taekwondo at the 2014 Asian Games was held in Incheon, South Korea from September 30 to 3 October 2014.  Men's and women's competitions had eight weight categories for each gender.  All competition took place at the Ganghwa Dolmens Gymnasium.  Each country was limited to having 6 men and 6 women. Wushu was contested by both men and women at the 2014 Asian Games in Incheon, South Korea from September 20 to 24, 2014.  All events were held at the Ganghwa Dolmens Gymnasium. The men's sanda 75 kilograms competition at the 2014 Asian Games in Incheon, South Korea was held from 21 September to 24 September at the Ganghwa Dolmens Gymnasium. The men's Taijiquan / Taijijian all-round competition at the 2014 Asian Games in Incheon, South Korea was held on 23 September at the Ganghwa Dolmens Gymnasium. The men's sanda 70 kilograms competition at the 2014 Asian Games in Incheon, South Korea was held from 21 September to 24 September at the Ganghwa Dolmens Gymnasium. The women's Nanquan / Nandao all-round competition at the 2014 Asian Games in Incheon, South Korea was held on 20 September at the Ganghwa Dolmens Gymnasium. The men's sanda 65 kilograms competition at the 2014 Asian Games in Incheon, South Korea will be held from 20 September to 24 September at the Ganghwa Dolmens Gymnasium. Ganghwa Dolmens Gymnasium is an indoor arena in Incheon, South Korea.  It has hosted numerous international tournaments such as the taekwondo and wushu events of the 2014 Asian Games. The women's changquan competition at the 2014 Asian Games in Incheon, South Korea was held on 23 September at the Ganghwa Dolmens Gymnasium.",Answer the following question based on the context: Ganghwa Dolmens Gymnasium held the 2014 events that started on what date?,
"Letuka Nkole is a member of the Pan-African Parliament from Lesotho.

References

Members of the Pan-African Parliament from Lesotho
Living people
Year of birth missing (living people)
Place of birth missing (living people)",Rephrase the following text while preserving its original meaning.,
"The Adventures of Tintin (French: ""Les Aventures de Tintin"" ; ] ) is a series of 24 comic albums created by Belgian cartoonist Georges Remi, who wrote under the pen name Hergé.  The series was one of the most popular European comics of the 20th century.  By 2007, a century after Hergé's birth in 1907, ""Tintin"" had been published in more than 70 languages with sales of more than 200 million copies, and have been adapted for radio, television, theatre, and film. Roberto Rastapopoulos is a fictional character in ""The Adventures of Tintin"", the comics series by Belgian cartoonist Hergé.  He is a criminal mastermind with multiple identities and activities, and is said to be the main antagonist in the series.",Answer the following question based on the context: Rastapopoulos is in a series of how many? ,
"Bilskirnir (Old Norse ""lightning-crack"") is the hall of the god Thor in Norse mythology. Here he lives with his wife Sif and their children. According to Grímnismál, the hall is the greatest of buildings and contains 540 rooms, located in Asgard, as are all the dwellings of the gods, in the kingdom of Þrúðheimr (or Þrúðvangar according to Gylfaginning and Ynglinga saga).

Modern influence
The hall inspired the name of an Asgard starship commanded by Supreme Commander Thor, in the television series Stargate SG-1 named Beliskner.
There is a NS / pagan black metal  band from Hesse, Germany named Bilskirnir.

Notes

References
Orchard, Andy (1997). Dictionary of Norse Myth and Legend. Cassell. 

Locations in Norse mythology
Thor",Provide a detailed analysis and understanding of the following text.,
"Jack Clarke may refer to:

Jack Clarke (athlete) (fl. 1945–1952), New Zealand marathon runner
Jack Clarke (footballer, born 1931) (1931–1997), Australian rules footballer and Essendon player
Jack Clarke (footballer, born 1933) (1933–2001), Australian rules footballer and East Fremantle player
Jack Clarke (footballer, born 2000), English footballer
Jack Clarke (racing driver) (born 1988), racing driver in the FIA Formula Two Championship
Jack Clarke (rugby union) (born 1968), Irish rugby union player
Jack Clarke (mountaineer) (1875–1952), New Zealand mountaineer, first ascendant of Mounts Cook, Tasman and Aspiring

See also
Jack Clark (disambiguation)
Jackie Clarke (disambiguation)
John Clarke (disambiguation)",Provide a detailed analysis and understanding of the following text.,
"The Jawahar Planetarium is located in the city of Prayagraj in Uttar Pradesh, India. It was built in 1979 and is situated beside Anand Bhavan the former residence of the Nehru-Gandhi family and now a museum. It is managed by the 'Jawaharlal Nehru Memorial Fund' (established 1964), which has its headquarters at Teen Murti House, New Delhi.

Each year, the prestigious 'Jawaharlal Nehru Memorial Lecture' is also held at the planetarium, organised under the auspices of Jawaharlal Nehru Memorial Fund on the birth anniversary of India's first prime minister, 14 November.

See also

 Astrotourism in India
 Nehru Planetarium
 Swami Vivekananda Planetarium, Mangalore
 List of tourist attractions in Prayagraj
 List of planetariums

References 

Planetaria in India
Buildings and structures in Prayagraj
Tourist attractions in Prayagraj
1979 establishments in Uttar Pradesh
Education in Prayagraj
Science and technology in Prayagraj
Monuments and memorials to Jawaharlal Nehru",Rephrase the following text while preserving its original meaning.,
"Epigaea is a genus comprising three species of flowering plants in the Ericaceae.  The species are small creeping shrubs that are typically anywhere from 10 to tall at full growth, forming large patches.  The leaves are evergreen, alternate and simple, ranging amongst the three species from 2 to long.  The flowers are small, white or pink, with a five-lobed tubular corolla which is produced in mid-spring.  The fruit is a dry capsule with numerous small seeds. Aegopodium is a plant genus of the carrot family Apiaceae native to Europe and western Asia.  It is represented by about seven species, all are perennial herbs.  Flowers are compounded, umbels appearing in spring-summer and are visited by many types of insect pollinators.  Fruit consists of two-winged or ribbed nuts that separate on ripening. Aegopodium podagraria L. commonly called ground elder, herb gerard, bishop's weed, goutweed, gout wort, and snow-in-the-mountain, and sometimes called English masterwort, and wild masterwort, is a perennial plant in the carrot family (Apiaceae) that grows in shady places.  The name ""ground elder"" comes from the superficial similarity of its leaves and flowers to those of elder (""Sambucus""), which is unrelated.  It is the type species of the genus ""Aegopodium"".  This species is native to Eurasia, and has been introduced around the world as an ornamental plant, where it occasionally poses an ecological threat as an invasive exotic plant.","Answer the following question based on the context: Which plant has more species, Epigaea or Aegopodium?",
"Cobalt 60 was an electro-industrial/EBM group featuring Jean-Luc de Meyer and Dominique Lallement. Cobalt 60 has also done music for the PC game Wing Commander: Prophecy (Wing Commander V).

Discography

Studio albums 
 Elemental (1996)
 Twelve (1998)

Singles 
 ""Crush"" (1996)
 ""Born Again"" (The Cubanate Remixes) (1996)
 ""Prophecy – Wing Commander V : Prophecy Theme Single"" (1997)
 ""Prophecy – The Clubmixes"" (1997)
 ""It"" (1998)
 ""If I Was"" (1999)

External links

References 

Electro-industrial music groups
Electronic body music groups",Continue or complete the following text in a coherent manner.,
"Istor-o-Nal or इस्तोर-ओ-नल is the third highest mountain in the Hindu Kush, in the Chitral District of the North-West Frontier Province of Pakistan.  It is the 68th highest independent peak in the world.  It crowns a massif with eleven peaks of elevation more than 7000 m .  The peak is located a few kilometres northeast of Tirich Mir (the highest mountain in the Hindu Kush), across the Tirich Glacier.  Because Istor-o-Nal is behind the higher peak of Tirich Mir from many viewpoints, it is not easily visible and therefore not well known. Karjiang is a mountain in Tibet, located near the Bhutan–China border.  The highest peak of the Karjiang group is Karjiang I or Karjiang South, with an elevation of 7221 m ; it remains unclimbed.  Other peaks include Karjiang North (7196 m), Karjiang II/Central (7045 m), Karjiang III or Taptol Kangri (6820 m) and the top of the north-eastern shoulder (6400 m).",Answer the following question based on the context: Is Karjiang higher than Istor-o-Nal?,
